power,temperature,fuel_flow,air_flow
150,158.0856236,1.63E-02,2.04815458
150,158.1148091,1.63E-02,2.04815458
150,158.161661,1.63E-02,2.04815458
150,158.1422943,1.63E-02,2.04815458
150,158.1394329,1.63E-02,2.04815458
150,158.1256857,1.63E-02,2.04815458
150,158.1737112,1.63E-02,2.04815458
150,158.124441,1.63E-02,2.04815458
150,158.1711129,1.63E-02,2.04815458
150,158.1266746,1.63E-02,2.04815458
150,158.1729923,1.63E-02,2.04815458
150,158.1266037,1.63E-02,2.04815458
150,158.173444,1.63E-02,2.04815458
150,158.1272283,1.63E-02,2.04815458
150,158.1742535,1.63E-02,2.04815458
150,158.1284535,1.63E-02,2.04815458
150,158.1742247,1.63E-02,2.04815458
150,158.1280296,1.63E-02,2.04815458
150,158.1740333,1.63E-02,2.04815458
150,158.1277361,1.63E-02,2.04815458
150,158.1742873,1.63E-02,2.04815458
150,158.1279353,1.63E-02,2.04815458
150,158.1744138,1.63E-02,2.04815458
150,158.1280059,1.63E-02,2.04815458
150,158.1744621,1.63E-02,2.04815458
150,158.1280685,1.63E-02,2.04815458
150,158.1745255,1.63E-02,2.04815458
150,158.1281102,1.63E-02,2.04815458
150,158.1745635,1.63E-02,2.04815458
150,158.128164,1.63E-02,2.04815458
150,158.1746049,1.63E-02,2.04815458
150,158.1281856,1.63E-02,2.04815458
150,158.1746295,1.63E-02,2.04815458
150,158.128227,1.63E-02,2.04815458
150,158.1746387,1.63E-02,2.04815458
150,158.1282421,1.63E-02,2.04815458
150,158.1746866,1.63E-02,2.04815458
150,158.1282751,1.63E-02,2.04815458
150,158.1746564,1.63E-02,2.04815458
150,158.1282898,1.63E-02,2.04815458
150,158.1746728,1.63E-02,2.04815458
150,158.1283029,1.63E-02,2.04815458
150,158.1549075,1.63E-02,2.04815458
150,158.1542123,1.63E-02,2.04815458
150,158.1562393,1.63E-02,2.04815458
150,158.1631734,1.63E-02,2.04815458
150,158.1439724,1.63E-02,2.04815458
150,158.1284619,1.63E-02,2.04815458
150,158.174789,1.63E-02,2.04815458
150,158.1284369,1.63E-02,2.04815458
150,158.1748424,1.63E-02,2.04815458
150,158.1286594,1.63E-02,2.04815458
150,158.1749098,1.63E-02,2.04815458
150,158.12847,1.63E-02,2.04815458
150,158.1747481,1.63E-02,2.04815458
150,158.1284119,1.63E-02,2.04815458
150,158.1747835,1.63E-02,2.04815458
150,158.1286355,1.63E-02,2.04815458
150,158.1749963,1.63E-02,2.04815458
150,158.1285386,1.63E-02,2.04815458
150,158.1748229,1.63E-02,2.04815458
150,158.1284481,1.63E-02,2.04815458
150,158.1748069,1.63E-02,2.04815458
150,158.12864,1.63E-02,2.04815458
150,158.1749921,1.63E-02,2.04815458
150,158.1285675,1.63E-02,2.04815458
150,158.1748408,1.63E-02,2.04815458
150,158.1284713,1.63E-02,2.04815458
150,158.1748292,1.63E-02,2.04815458
150,158.1284763,1.63E-02,2.04815458
150,158.1748312,1.63E-02,2.04815458
150,158.1284818,1.63E-02,2.04815458
150,158.1748271,1.63E-02,2.04815458
150,158.1284801,1.63E-02,2.04815458
150,158.1748261,1.63E-02,2.04815458
150,158.1284807,1.63E-02,2.04815458
150,158.1748328,1.63E-02,2.04815458
150,158.1284796,1.63E-02,2.04815458
150,158.1748129,1.63E-02,2.04815458
450,76.55723129,3.65E-02,3.302592263
450,76.74302167,3.65E-02,3.302592263
450,76.55634389,3.65E-02,3.302592263
450,76.74370536,3.65E-02,3.302592263
450,76.55328013,3.65E-02,3.302592263
450,76.74351165,3.65E-02,3.302592263
450,76.55071139,3.65E-02,3.302592263
450,76.74341593,3.65E-02,3.302592263
450,76.54871777,3.65E-02,3.302592263
450,76.74345241,3.65E-02,3.302592263
450,76.54709635,3.65E-02,3.302592263
450,77.61763493,3.65E-02,3.302592263
450,76.54537371,3.65E-02,3.302592263
450,79.10643974,3.65E-02,3.302592263
450,77.99897197,3.65E-02,3.302592263
450,80.4813715,3.65E-02,3.302592263
450,79.26694926,3.65E-02,3.302592263
450,81.64595332,3.65E-02,3.302592263
450,80.33929413,3.65E-02,3.302592263
