power,temperature,fuel_flow,air_flow
190.5220208,150.0289754,0.01817291,1.724790878
312.2413361,150.2542021,0.023821861,2.260932833
541.3981099,152.3126433,0.034829582,3.305675601
118.2408859,150.0017774,0.013927852,1.321892444
520.019845,151.9551468,0.033647126,3.193448701
592.3339329,153.393472,0.037868509,3.594100203
729.4055537,158.7651831,0.048296507,4.583821445
615.884892,154.0247504,0.039397924,3.739256985
591.497453,153.3727306,0.037815756,3.589093433
510.0180942,151.8044489,0.033110206,3.142489607
644.7855924,154.9380611,0.041402319,3.929494123
285.3347549,150.17614,0.022633398,2.148135784
341.0236977,150.3617004,0.02508837,2.38113722
655.7527639,155.3298065,0.042203835,4.005565995
291.7682694,150.1930235,0.022918688,2.17521271
589.0952839,153.3137744,0.037664835,3.574769465
323.6130041,150.2934775,0.024322031,2.30840394
210.2518698,150.046509,0.019163071,1.81876706
472.7836646,151.3245651,0.031191668,2.960401207
462.0013498,151.2068986,0.030657146,2.909669734
256.1009179,150.1120019,0.02132062,2.023540017
315.5157884,150.265105,0.023965924,2.274605878
679.5345674,156.275749,0.044027918,4.178689657
118.2,150.0017731,0.013925037,1.321625297
388.1565855,150.603745,0.02718817,2.580429255
118.2,150.0017731,0.013925037,1.321625297
759.0546561,160.6407562,0.05117617,4.857130256
146.5248316,150.0070384,0.015740731,1.493952813
394.0119925,150.6405449,0.027453528,2.605614316
258.818006,150.1171514,0.021444105,2.035260028
341.1191381,150.362103,0.025092578,2.381536553
587.5439861,153.276176,0.037567818,3.565561623
673.5200208,156.0233398,0.043554919,4.133797384
546.2321125,152.4006548,0.035103973,3.331718082
302.5331614,150.2237283,0.023394261,2.220349275
219.7715848,150.0570622,0.019625168,1.862624735
201.2420096,150.0378102,0.01871682,1.776413347
641.9875149,154.8422938,0.041201588,3.910442677
184.3968233,150.0246158,0.017855007,1.694618723
118.2,150.0017731,0.013925037,1.321625297
176.7751024,150.0198417,0.017451347,1.656307348
569.0916855,152.8563215,0.036439754,3.458497063
433.5167222,150.9355599,0.029283444,2.779291637
606.1018946,153.7511076,0.038751997,3.677952036
619.8800801,154.1414191,0.039666249,3.764723702
278.6378466,150.1596754,0.022335313,2.119844566
757.1740428,160.5116718,0.050984819,4.838969218
627.6115729,154.375641,0.040193264,3.814742675
358.4330053,150.440659,0.025858045,2.454187067
666.9131026,155.7565714,0.043044621,4.085365004
412.5846678,150.7686033,0.028304481,2.686378319
582.0754885,153.1465556,0.037228579,3.533364437
346.7773365,150.3865516,0.02534222,2.405230118
578.0059242,153.0529824,0.036978857,3.509663345
522.9808431,152.0017121,0.033808005,3.208717763
207.3507569,150.0435754,0.019020383,1.805224549
118.2,150.0017731,0.013925037,1.321625297
580.8163165,153.1173431,0.037151066,3.526007643
118.2,150.0017731,0.013925037,1.321625297
