Tamb,P(kW),Qch(tons)
-6.991666667,0,0
-7.55,0,0
-8.091666667,0,0
-8.3,0,0
-8.65,0,0
-8.9,0,0
-8.9,0,0
-8.9,0,0
-8.9,0,0
-8.55,0,0
-8.008333333,0,0
-7.8,0,0
-7.8,0,0
-7.158333333,0,0
-5.708333333,0,0
-4.358333333,0,0
-3.55,0,0
-2.366666667,0,0
-1.991666667,0,0
-1.558333333,0,0
-1.45,0,0
-1.991666667,0,0
-2.55,0,0
-3.091666667,0,0
-3.3,0,0
-3.65,0,0
-3.9,0,0
-3.9,0,0
-3.9,0,0
-3.9,0,0
-3.9,0,0
-3.9,0,0
-3.55,0,0
-3.65,0,0
-3.55,0,0
-3.008333333,0,0
-2.45,0,0
-1.908333333,0,0
-0.708333333,0,0
0.35,0,0
0.891666667,0,0
1.45,0,0
1.7,0,0
1.7,0,0
1.7,0,0
1.058333333,0,0
0.6,0,0
0.6,0,0
0.891666667,0,0
1.1,0,0
1.1,0,0
1.1,0,0
1.45,0,0
1.991666667,0,0
2.2,0,0
2.2,0,0
1.908333333,0,0
1.991666667,0,0
1.908333333,0,0
1.35,0,0
0.808333333,0,0
0.6,0,0
0.6,0,0
0.6,0,0
0.6,0,0
0.6,0,0
0.6,0,0
0.6,0,0
-0.1,0,0
-1.241666667,0,0
-1.7,0,0
-2.341666667,0,0
-3.441666667,0,0
-4.191666667,0,0
-4.75,0,0
-5,0,0
-5.35,0,0
-5.891666667,0,0
-6.1,0,0
-6.45,0,0
-6.991666667,0,0
-7.2,0,0
-7.2,0,0
-6.908333333,0,0
-6.35,0,0
-6.1,0,0
-5.108333333,0,0
-3.758333333,0,0
-2.366666667,0,0
-1.35,0,0
-0.808333333,0,0
-0.6,0,0
-0.25,0,0
-0.35,0,0
-0.6,0,0
-0.891666667,0,0
-1.45,0,0
-1.991666667,0,0
-2.55,0,0
-3.091666667,0,0
-3.3,0,0
-3.65,0,0
-3.9,0,0
-3.9,0,0
-3.9,0,0
-3.55,0,0
-3.008333333,0,0
-2.45,0,0
-1.558333333,0,0
-1.1,0,0
-0.808333333,0,0
-0.25,0,0
0.641666667,0,0
1.1,0,0
1.45,0,0
2.341666667,0,0
2.8,0,0
2.8,0,0
2.8,0,0
3.091666667,0,0
3.65,0,0
3.9,0,0
4.191666667,0,0
4.75,0,0
4.358333333,0,0
4.191666667,0,0
4.108333333,0,0
3.55,0,0
3.65,0,0
4.191666667,0,0
4.4,0,0
4.4,0,0
4.4,0,0
5.1,0,0
5.891666667,0,0
7.383333333,0,0
9.291666667,0,0
10.35,0,0
10.89166667,0,0
10.45833333,0,0
9.65,0,0
9.108333333,0,0
8.55,0,0
8.3,0,0
8.008333333,0,0
7.8,0,0
7.45,0,0
7.55,0,0
7.45,0,0
6.908333333,0,0
6.7,0,0
6.7,0,0
6.35,0,0
6.45,0,0
6.35,0,0
6.1,0,0
6.1,0,0
6.741666667,0,0
7.2,0,0
7.55,0,0
8.091666667,0,0
8.65,0,0
9.191666667,0,0
9.75,0,0
10,0,0
10,0,0
9.65,0,0
9.75,0,0
10,0,0
9.65,0,0
9.4,0,0
9.4,0,0
9.75,0,0
9.008333333,0,0
7.658333333,0,0
6.558333333,0,0
6.1,0,0
5.808333333,0,0
5.6,0,0
5.6,0,0
5.891666667,0,0
6.1,0,0
6.45,0,0
6.991666667,0,0
7.55,0,0
7.8,0,0
7.8,0,0
7.8,0,0
7.45,0,0
6.558333333,0,0
5.808333333,0,0
5.25,0,0
4.65,0,0
4.108333333,0,0
3.55,0,0
3.3,0,0
3.65,0,0
3.55,0,0
3.3,0,0
3.65,0,0
4.191666667,0,0
4.4,0,0
5.1,0,0
6.241666667,0,0
8.625,0,0
10.64166667,0,0
11.74166667,0,0
12.55,0,0
13.09166667,0,0
13.3,63.7379151,185.5539218
14.29166667,77.09779071,215.6524185
15,80.43580364,227.9457451
15.35,82.34545746,234.3055695
13.96666667,76.53124626,213.9366621
11.80833333,21.30452677,56.00979493
11.1,0,0
10.45833333,0,0
9.008333333,0,0
8.008333333,0,0
7.45,0,0
6.908333333,0,0
6.7,0,0
6.35,0,0
6.1,0,0
6.1,0,0
6.1,0,0
5.808333333,0,0
5.891666667,0,0
5.808333333,0,0
5.25,0,0
4.65,0,0
4.4,0,0
4.75,0,0
5,0,0
4.358333333,0,0
3.258333333,0,0
2.45,0,0
1.908333333,0,0
1.35,0,0
0.808333333,0,0
0.25,0,0
-0.641666667,0,0
-1.45,0,0
-1.991666667,0,0
-2.55,0,0
-3.441666667,0,0
-4.191666667,0,0
-4.4,0,0
-4.75,0,0
-5,0,0
-4.65,0,0
-4.4,0,0
-4.4,0,0
-3.758333333,0,0
-3.008333333,0,0
-2.45,0,0
-1.558333333,0,0
-0.108333333,0,0
0.6,0,0
0.6,0,0
0.891666667,0,0
0.458333333,0,0
0,0,0
-0.35,0,0
-0.891666667,0,0
-1.1,0,0
-1.45,0,0
-1.7,0,0
-1.7,0,0
-1.991666667,0,0
-2.2,0,0
-2.55,0,0
-2.8,0,0
-3.091666667,0,0
-3.3,0,0
-3.3,0,0
-2.658333333,0,0
-1.908333333,0,0
-1.35,0,0
-0.808333333,0,0
0.391666667,0,0
1.45,0,0
1.991666667,0,0
2.841666667,0,0
3.3,0,0
2.658333333,0,0
1.266666667,0,0
0.891666667,0,0
1.45,0,0
1.35,0,0
1.1,0,0
1.1,0,0
1.741666667,0,0
2.2,0,0
2.55,0,0
3.091666667,0,0
3.008333333,0,0
3.091666667,0,0
3.3,0,0
3.3,0,0
3.008333333,0,0
3.441666667,0,0
4.541666667,0,0
5.641666667,0,0
7.383333333,0,0
9.933333333,0,0
11.74166667,0,0
12.2,0,0
12.55,44.3940746,119.814554
12.8,25.22422349,70.6046943
12.8,0,0
13.09166667,0,0
13.00833333,0,0
12.8,0,0
12.8,39.46157913,100.3006964
12.8,22.14207124,58.36461124
12.8,48.93954949,136.861464
12.8,62.85793588,164.7946808
12.45,52.42638968,132.7135424
11.90833333,17.69174298,45.82609264
11.05833333,0,0
10.25,0,0
10,0,0
9.65,0,0
