timestamp,electricity_cost
1/11/2018,0.076
1/11/2018,0.076
1/11/2018,0.076
1/11/2018,0.076
1/11/2018,0.076
1/11/2018,0.076
1/11/2018,0.076
1/11/2018,0.055
1/11/2018,0.055
1/11/2018,0.055
1/11/2018,0.055
1/12/2018,0.055
1/12/2018,0.055
1/12/2018,0.055
1/12/2018,0.055
1/12/2018,0.055
1/12/2018,0.055
1/12/2018,0.055
1/12/2018,0.076
1/12/2018,0.076
1/12/2018,0.076
1/12/2018,0.076
1/12/2018,0.076
1/12/2018,0.076
1/12/2018,0.076
1/12/2018,0.076
1/12/2018,0.076
1/12/2018,0.076
1/12/2018,0.076
1/12/2018,0.076
1/12/2018,0.076
1/12/2018,0.055
1/12/2018,0.055
1/12/2018,0.055
1/12/2018,0.055
1/13/2018,0.055
1/13/2018,0.055
1/13/2018,0.055
1/13/2018,0.055
1/13/2018,0.055
1/13/2018,0.055
1/13/2018,0.055
1/13/2018,0.076
1/13/2018,0.076
1/13/2018,0.076
1/13/2018,0.076
1/13/2018,0.076
1/13/2018,0.076
1/13/2018,0.076
1/13/2018,0.076
1/13/2018,0.076
1/13/2018,0.076
1/13/2018,0.076
1/13/2018,0.076
1/13/2018,0.076
1/13/2018,0.055
1/13/2018,0.055
1/13/2018,0.055
1/13/2018,0.055
1/14/2018,0.055
1/14/2018,0.055
1/14/2018,0.055
1/14/2018,0.055
1/14/2018,0.055
1/14/2018,0.055
1/14/2018,0.055
1/14/2018,0.076
1/14/2018,0.076
1/14/2018,0.076
1/14/2018,0.076
1/14/2018,0.076
1/14/2018,0.076
1/14/2018,0.076
1/14/2018,0.076
1/14/2018,0.076
1/14/2018,0.076
1/14/2018,0.076
1/14/2018,0.076
1/14/2018,0.076
1/14/2018,0.055
1/14/2018,0.055
1/14/2018,0.055
1/14/2018,0.055
1/15/2018,0.055
1/15/2018,0.055
1/15/2018,0.055
1/15/2018,0.055
1/15/2018,0.055
1/15/2018,0.055
1/15/2018,0.055
1/15/2018,0.076
1/15/2018,0.076
1/15/2018,0.076
1/15/2018,0.076
1/15/2018,0.076
1/15/2018,0.076
1/15/2018,0.076
1/15/2018,0.076
1/15/2018,0.076
1/15/2018,0.076
1/15/2018,0.076
1/15/2018,0.076
1/15/2018,0.076
1/15/2018,0.055
1/15/2018,0.055
1/15/2018,0.055
1/15/2018,0.055
1/16/2018,0.055
1/16/2018,0.055
1/16/2018,0.055
1/16/2018,0.055
1/16/2018,0.055
1/16/2018,0.055
1/16/2018,0.055
1/16/2018,0.076
1/16/2018,0.076
1/16/2018,0.076
1/16/2018,0.076
1/16/2018,0.076
1/16/2018,0.076
1/16/2018,0.076
1/16/2018,0.076
