timestamp,electricity_cost
1/10/2018,0.2241865
1/10/2018,0.228225
1/10/2018,0.204978
1/10/2018,0.2070485
1/10/2018,0.1990535
1/10/2018,0.1936825
1/10/2018,0.1906075
1/10/2018,0.191735
1/10/2018,0.212194
1/10/2018,0.235974
1/10/2018,0.248684
1/10/2018,0.2196355
1/10/2018,0.2022515
1/10/2018,0.2004885
1/10/2018,0.181444
1/10/2018,0.1571925
1/11/2018,0.171563
1/11/2018,0.1655155
1/11/2018,0.158771
1/11/2018,0.1592425
1/11/2018,0.163035
1/11/2018,0.166028
1/11/2018,0.171973
1/11/2018,0.183084
1/11/2018,0.1787995
1/11/2018,0.1803575
1/11/2018,0.1683855
1/11/2018,0.171809
1/11/2018,0.163732
1/11/2018,0.161518
1/11/2018,0.158976
1/11/2018,0.1590785
1/11/2018,0.1765035
1/11/2018,0.1949535
1/11/2018,0.180255
1/11/2018,0.173613
1/11/2018,0.1699025
1/11/2018,0.1676065
1/11/2018,0.153728
1/11/2018,0.1441955
1/12/2018,0.1432525
1/12/2018,0.142125
1/12/2018,0.1386605
1/12/2018,0.1362825
1/12/2018,0.1393165
1/12/2018,0.14151
1/12/2018,0.1519855
1/12/2018,0.1561265
1/12/2018,0.159837
1/12/2018,0.165864
1/12/2018,0.1658435
1/12/2018,0.1694925
1/12/2018,0.1653515
1/12/2018,0.1646545
1/12/2018,0.162953
1/12/2018,0.1563315
1/12/2018,0.168037
1/12/2018,0.182551
1/12/2018,0.1689595
1/12/2018,0.163281
1/12/2018,0.157746
1/12/2018,0.152088
1/12/2018,0.1438265
1/12/2018,0.1391525
1/13/2018,0.152088
1/13/2018,0.1498945
1/13/2018,0.1457945
1/13/2018,0.14274
1/13/2018,0.1453025
1/13/2018,0.144872
1/13/2018,0.1535025
1/13/2018,0.1532975
1/13/2018,0.174843
1/13/2018,0.1787995
1/13/2018,0.225929
1/13/2018,0.21818
1/13/2018,0.2059415
1/13/2018,0.198746
1/13/2018,0.1987255
1/13/2018,0.2013085
1/13/2018,0.2353385
1/13/2018,0.271316
1/13/2018,0.2636285
1/13/2018,0.246675
1/13/2018,0.253276
1/13/2018,0.227856
1/13/2018,0.204158
1/13/2018,0.182633
1/14/2018,0.351102
1/14/2018,0.3086465
1/14/2018,0.3040545
1/14/2018,0.302927
1/14/2018,0.3034805
1/14/2018,0.3130745
1/14/2018,0.330069
1/14/2018,0.3532955
1/14/2018,0.3728935
1/14/2018,0.3825285
1/14/2018,0.3709665
1/14/2018,0.3604705
1/14/2018,0.3439885
1/14/2018,0.333677
1/14/2018,0.331709
1/14/2018,0.341221
1/14/2018,0.374923
1/14/2018,0.4860945
1/14/2018,0.4602235
1/14/2018,0.4566975
1/14/2018,0.4211095
1/14/2018,0.4078255
1/14/2018,0.3591175
1/14/2018,0.318712
1/15/2018,0.3612905
1/15/2018,0.3418155
1/15/2018,0.328347
1/15/2018,0.3244315
1/15/2018,0.333267
1/15/2018,0.379269
1/15/2018,0.3612085
1/15/2018,0.42605
1/15/2018,0.453069
1/15/2018,0.4845365
1/15/2018,0.4614945
1/15/2018,0.4569025
1/15/2018,0.441876
1/15/2018,0.4393545
1/15/2018,0.437694
1/15/2018,0.431544
1/15/2018,0.485623
1/15/2018,0.600997
1/15/2018,0.5265615
1/15/2018,0.5024945
1/15/2018,0.4683005
1/15/2018,0.4428805
1/15/2018,0.3869565
1/15/2018,0.34487
1/16/2018,0.304116
1/16/2018,0.2981915
1/16/2018,0.290996
1/16/2018,0.291037
1/16/2018,0.292636
1/16/2018,0.306699
1/16/2018,0.349708
1/16/2018,0.422442
