power,amb_temperature,valid,start,hours
200,15.64712176,TRUE,1,649.75
200,15.8586446,TRUE,1,650.5
200,16.01772721,TRUE,1,651.25
200,16.11298853,TRUE,1,651.8333333
200,16.17188766,TRUE,1,652.3333333
200,16.20893501,TRUE,1,652.75
200,16.22921494,TRUE,1,653.0833333
200,16.22932789,TRUE,1,653.4166667
200,16.23193412,TRUE,1,653.6666667
200,16.2339422,TRUE,1,653.8333333
200,16.23774548,TRUE,1,654
200,16.24376549,TRUE,1,654.1666667
200,16.25049703,TRUE,1,654.3333333
200,16.25728826,TRUE,1,654.5
200,16.25196544,TRUE,1,654.75
200,16.23957554,TRUE,1,655
200,15.92500986,TRUE,1,655.1666667
200,15.65857798,TRUE,1,655.3333333
200,15.55050325,TRUE,1,655.5
200,15.53574743,TRUE,1,655.6666667
200,15.53631527,TRUE,1,655.8333333
200,15.52816145,TRUE,1,656
200,15.51575149,TRUE,1,656.1666667
200,15.50546092,TRUE,1,656.3333333
200,15.49875859,TRUE,1,656.5
200,15.49394616,TRUE,1,656.6666667
200,15.48930462,TRUE,1,656.8333333
200,15.48459693,TRUE,1,657
200,15.48049137,TRUE,1,657.1666667
200,15.4767905,TRUE,1,657.3333333
200,15.47314889,TRUE,1,657.5
200,15.4696303,TRUE,1,657.6666667
200,15.46663539,TRUE,1,657.8333333
200,15.46366051,TRUE,1,658
200,15.4605425,TRUE,1,658.1666667
200,15.45768496,TRUE,1,658.3333333
200,15.45506781,TRUE,1,658.5
200,15.45234096,TRUE,1,658.6666667
200,15.34032687,TRUE,1,658.8333333
200,15.24156785,TRUE,1,659
200,15.19604453,TRUE,1,659.1666667
200,15.17985553,TRUE,1,659.3333333
200,15.16078445,TRUE,1,660
200,15.15284206,TRUE,1,661.3333333
200,15.14685371,TRUE,1,662.5
200,15.14098946,TRUE,1,663.25
200,15.13552149,TRUE,1,663.8333333
200,15.13074833,TRUE,1,664.25
200,15.12558586,TRUE,1,664.5833333
200,15.11900055,TRUE,1,664.9166667
200,15.11477706,TRUE,1,665.1666667
200,15.1085926,TRUE,1,665.3333333
200,15.10313788,TRUE,1,665.5
200,15.09828709,TRUE,1,665.6666667
200,15.09337031,TRUE,1,665.8333333
200,15.08869135,TRUE,1,666
200,15.08412512,TRUE,1,666.1666667
200,15.07957932,TRUE,1,666.3333333
200,15.07515562,TRUE,1,666.5
200,15.07080926,TRUE,1,666.6666667
200,15.06653597,TRUE,1,666.8333333
400,15.06225894,TRUE,1,667
400,15.05807225,TRUE,1,667.1666667
400,15.06300076,TRUE,1,667.3333333
400,15.06704323,TRUE,1,667.5
400,15.06655751,TRUE,1,667.6666667
400,15.06325129,TRUE,1,667.8333333
400,15.0595296,TRUE,1,668
400,15.05616434,TRUE,1,668.1666667
400,15.12103665,TRUE,1,668.3333333
400,15.17825227,TRUE,1,668.5
400,15.19919818,TRUE,1,668.6666667
400,15.1999198,TRUE,1,668.8333333
400,15.19777931,TRUE,1,669
400,15.19770071,TRUE,1,669.1666667
400,15.20019114,TRUE,1,669.3333333
400,15.20180523,TRUE,1,669.5
400,15.2018455,TRUE,1,669.6666667
400,15.20126536,TRUE,1,669.8333333
400,15.20034863,TRUE,1,670
400,15.21419653,TRUE,1,670.1666667
400,15.17262257,TRUE,1,670.3333333
400,15.14008086,TRUE,1,670.5
400,15.14211354,TRUE,1,670.6666667
400,15.1629748,TRUE,1,670.8333333
293.9115631,15.18601159,TRUE,1,671
200,15.20545581,TRUE,1,671.1666667
200,15.2081361,TRUE,1,671.3333333
200,15.21535313,TRUE,1,671.5
200,15.22866483,TRUE,1,671.6666667
200,15.24311769,TRUE,1,671.8333333
400,15.25592889,TRUE,1,672
400,15.2679201,TRUE,1,672.1666667
400,15.28956463,TRUE,1,672.3333333
400,15.31011821,TRUE,1,672.5
400,15.32517002,TRUE,1,672.6666667
400,15.33653087,TRUE,1,672.8333333
400,15.34656092,TRUE,1,673
400,15.35635886,TRUE,1,673.1666667
400,15.36555611,TRUE,1,673.3333333
400,15.37409341,TRUE,1,673.5
400,15.38201707,TRUE,1,673.6666667
400,15.38922244,TRUE,1,673.8333333
400,15.39614354,TRUE,1,674
400,15.40247114,TRUE,1,674.1666667
400,15.40842371,TRUE,1,674.3333333
400,15.41393423,TRUE,1,674.5
400,15.41912583,TRUE,1,674.6666667
400,15.42393661,TRUE,1,674.8333333
400,15.42849465,TRUE,1,675
400,15.54221797,TRUE,1,675.1666667
400,15.72037744,TRUE,1,675.3333333
400,15.84002042,TRUE,1,675.5
400,15.88901509,TRUE,1,675.6666667
400,15.90617488,TRUE,1,675.8333333
293.9115631,15.91827359,TRUE,1,676
200,15.93142595,TRUE,1,676.1666667
200,15.9897174,TRUE,1,676.3333333
200,16.04631456,TRUE,1,676.5
200,16.07669565,TRUE,1,676.6666667
200,16.08944579,TRUE,1,676.8333333
200,16.09755235,TRUE,1,677
200,16.10609676,TRUE,1,677.1666667
200,16.21416077,TRUE,1,677.3333333
200,16.31540952,TRUE,1,677.5
200,16.36441883,TRUE,1,677.6666667
200,16.38028101,TRUE,1,677.8333333
200,16.38907323,TRUE,1,678
200,16.40042821,TRUE,1,678.1666667
200,16.29195324,TRUE,1,678.3333333
200,16.19113728,TRUE,1,678.5
200,16.15374761,TRUE,1,678.6666667
200,16.15489643,TRUE,1,678.8333333
200,16.16364718,TRUE,1,679
200,16.16822156,TRUE,1,679.1666667
200,16.38582224,TRUE,1,679.3333333
200,16.42232171,TRUE,1,679.5
200,16.19452465,TRUE,1,679.6666667
200,15.9992986,TRUE,1,679.8333333
200,15.93268426,TRUE,1,680
200,15.91464575,TRUE,1,680.1666667
200,15.87982234,TRUE,1,680.3333333
200,15.82842676,TRUE,1,680.5
200,15.77588989,TRUE,1,680.6666667
200,25.32438701,TRUE,1,146.1666667
200,25.32010238,TRUE,1,146.3333333
200,25.32212642,TRUE,1,146.5
200,25.33468321,TRUE,1,146.6666667
200,25.34502485,TRUE,1,146.8333333
200,25.34896676,TRUE,1,147
200,25.34940769,TRUE,1,147.1666667
200,25.34934865,TRUE,1,147.3333333
200,25.35027413,TRUE,1,147.5
200,25.39668796,TRUE,1,147.6666667
200,25.43744362,TRUE,1,147.8333333
200,25.45276192,TRUE,1,148
200,25.45383217,TRUE,1,148.1666667
200,25.45380666,TRUE,1,148.3333333
200,25.45587049,TRUE,1,148.5
200,25.29225166,TRUE,1,148.6666667
200,25.14857049,TRUE,1,148.8333333
200,25.09712107,TRUE,1,149
200,25.09638482,TRUE,1,149.1666667
200,25.0998951,TRUE,1,149.3333333
200,25.09494761,TRUE,1,149.5
200,25.21437043,TRUE,1,149.6666667
200,25.31996807,TRUE,1,149.8333333
200,25.35781264,TRUE,1,150
200,25.35721544,TRUE,1,150.1666667
200,25.35220075,TRUE,1,150.3333333
200,25.35304512,TRUE,1,150.5
200,25.22765776,TRUE,1,150.6666667
200,25.11832428,TRUE,1,150.8333333
200,25.07947186,TRUE,1,151
200,25.07908781,TRUE,1,151.1666667
200,25.08293413,TRUE,1,151.3333333
200,25.08172266,TRUE,1,151.5
200,25.20001121,TRUE,1,151.6666667
200,25.30505694,TRUE,1,151.8333333
200,25.34477465,TRUE,1,152
200,25.34769319,TRUE,1,152.1666667
400,25.34651994,TRUE,1,152.3333333
400,25.36491624,TRUE,1,152.5
400,25.27058363,TRUE,1,152.6666667
400,25.18146264,TRUE,1,152.8333333
400,25.14962497,TRUE,1,153
