Qin(MMBtu/h),Qch(MMBtu/h)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2.03859963,1.548735021
2.015500439,1.531373578
2.013702169,1.530071811
2.012933557,1.529532686
2.011871835,1.52876346
2.010606764,1.527834435
2.009207295,1.526799873
2.25938227,1.716116015
2.056520229,1.562054628
2.054244738,1.560390287
2.056714074,1.56228969
2.057079447,1.562589846
2.056439265,1.56212501
2.109822111,1.60199291
1.983608339,1.507247682
2.007037273,1.525000625
2.002689218,1.521792755
1.99856876,1.518745108
1.996680066,1.517368051
2.242230439,1.703055921
2.041148044,1.55051516
2.0403437,1.549970126
2.095864142,1.591462329
1.97189756,1.498462731
1.998245435,1.518417354
1.995099877,1.516118094
1.991495421,1.513459963
1.989750629,1.512191316
1.989040288,1.5116914
1.988793441,1.511531877
1.988892172,1.511625641
1.989698375,1.512246258
1.990874947,1.513140702
1.992200207,1.51414289
1.993608162,1.515203998
1.995024944,1.516269309
1.996426977,1.517321727
2.001507416,1.521140855
2.005457352,1.52410356
2.008227829,1.526175729
2.010899699,1.528173227
2.013459506,1.530086188
2.015938082,1.531938026
2.008728239,1.526496514
1.974598742,1.500818413
1.962311363,1.491622102
1.960705841,1.490463568
1.96426504,1.493178081
1.970616645,1.497977965
1.979023627,1.504309698
1.988537093,1.511461011
1.998883068,1.519228187
2.009579915,1.527251082
2.020349591,1.535322566
2.031281143,1.543511727
2.041756784,1.551354906
2.051991757,1.559016025
2.062186419,1.566647231
2.072228078,1.574164123
2.082217496,1.581643195
2.090702942,1.587989754
1.674414294,1.275115734
1.770114644,1.348064388
