power,temperature,fuel_flow,air_flow
72.6,158.0856236,0.0078892,0.991306817
72.6,158.1148091,0.0078892,0.991306817
72.6,158.161661,0.0078892,0.991306817
72.6,158.1422943,0.0078892,0.991306817
72.6,158.1394329,0.0078892,0.991306817
72.6,158.1256857,0.0078892,0.991306817
72.6,158.1737112,0.0078892,0.991306817
72.6,158.124441,0.0078892,0.991306817
72.6,158.1711129,0.0078892,0.991306817
72.6,158.1266746,0.0078892,0.991306817
72.6,158.1729923,0.0078892,0.991306817
72.6,158.1266037,0.0078892,0.991306817
72.6,158.173444,0.0078892,0.991306817
72.6,158.1272283,0.0078892,0.991306817
72.6,158.1742535,0.0078892,0.991306817
72.6,158.1284535,0.0078892,0.991306817
72.6,158.1742247,0.0078892,0.991306817
72.6,158.1280296,0.0078892,0.991306817
72.6,158.1740333,0.0078892,0.991306817
72.6,158.1277361,0.0078892,0.991306817
72.6,158.1742873,0.0078892,0.991306817
72.6,158.1279353,0.0078892,0.991306817
72.6,158.1744138,0.0078892,0.991306817
72.6,158.1280059,0.0078892,0.991306817
72.6,158.1744621,0.0078892,0.991306817
72.6,158.1280685,0.0078892,0.991306817
72.6,158.1745255,0.0078892,0.991306817
72.6,158.1281102,0.0078892,0.991306817
72.6,158.1745635,0.0078892,0.991306817
72.6,158.128164,0.0078892,0.991306817
72.6,158.1746049,0.0078892,0.991306817
72.6,158.1281856,0.0078892,0.991306817
72.6,158.1746295,0.0078892,0.991306817
72.6,158.128227,0.0078892,0.991306817
72.6,158.1746387,0.0078892,0.991306817
72.6,158.1282421,0.0078892,0.991306817
72.6,158.1746866,0.0078892,0.991306817
72.6,158.1282751,0.0078892,0.991306817
72.6,158.1746564,0.0078892,0.991306817
72.6,158.1282898,0.0078892,0.991306817
72.6,158.1746728,0.0078892,0.991306817
72.6,158.1283029,0.0078892,0.991306817
72.6,158.1549075,0.0078892,0.991306817
72.6,158.1542123,0.0078892,0.991306817
72.6,158.1562393,0.0078892,0.991306817
72.6,158.1631734,0.0078892,0.991306817
72.6,158.1439724,0.0078892,0.991306817
72.6,158.1284619,0.0078892,0.991306817
72.6,158.174789,0.0078892,0.991306817
72.6,158.1284369,0.0078892,0.991306817
72.6,158.1748424,0.0078892,0.991306817
72.6,158.1286594,0.0078892,0.991306817
72.6,158.1749098,0.0078892,0.991306817
72.6,158.12847,0.0078892,0.991306817
72.6,158.1747481,0.0078892,0.991306817
72.6,158.1284119,0.0078892,0.991306817
72.6,158.1747835,0.0078892,0.991306817
72.6,158.1286355,0.0078892,0.991306817
72.6,158.1749963,0.0078892,0.991306817
72.6,158.1285386,0.0078892,0.991306817
72.6,158.1748229,0.0078892,0.991306817
72.6,158.1284481,0.0078892,0.991306817
72.6,158.1748069,0.0078892,0.991306817
72.6,158.12864,0.0078892,0.991306817
72.6,158.1749921,0.0078892,0.991306817
72.6,158.1285675,0.0078892,0.991306817
72.6,158.1748408,0.0078892,0.991306817
72.6,158.1284713,0.0078892,0.991306817
72.6,158.1748292,0.0078892,0.991306817
72.6,158.1284763,0.0078892,0.991306817
72.6,158.1748312,0.0078892,0.991306817
72.6,158.1284818,0.0078892,0.991306817
72.6,158.1748271,0.0078892,0.991306817
72.6,158.1284801,0.0078892,0.991306817
72.6,158.1748261,0.0078892,0.991306817
72.6,158.1284807,0.0078892,0.991306817
72.6,158.1748328,0.0078892,0.991306817
72.6,158.1284796,0.0078892,0.991306817
72.6,158.1748129,0.0078892,0.991306817
217.8,76.55723129,0.017666,1.598454655
217.8,76.74302167,0.017666,1.598454655
217.8,76.55634389,0.017666,1.598454655
217.8,76.74370536,0.017666,1.598454655
217.8,76.55328013,0.017666,1.598454655
217.8,76.74351165,0.017666,1.598454655
217.8,76.55071139,0.017666,1.598454655
217.8,76.74341593,0.017666,1.598454655
217.8,76.54871777,0.017666,1.598454655
217.8,76.74345241,0.017666,1.598454655
217.8,76.54709635,0.017666,1.598454655
217.8,77.61763493,0.017666,1.598454655
217.8,76.54537371,0.017666,1.598454655
217.8,79.10643974,0.017666,1.598454655
217.8,77.99897197,0.017666,1.598454655
