timestamp,power,soc,FOO
1/1/2017 22:20,306.9767442,0.243004983,
1/1/2017 22:30,306.9767442,0.266795681,
1/1/2017 22:40,306.9767442,0.290586379,
1/1/2017 22:50,306.9767442,0.314377076,
1/1/2017 23:00,306.9767442,0.338167774,
1/1/2017 23:10,306.9767442,0.361958472,
1/1/2017 23:20,249.0566038,0.381260359,
1/1/2017 23:30,249.0566038,0.400562245,
1/1/2017 23:40,249.0566038,0.419864132,
1/1/2017 23:50,249.0566038,0.439166019,
1/2/2017 0:00,249.0566038,0.458467906,
1/2/2017 0:10,249.0566038,0.477769793,
1/2/2017 0:20,425.8064516,0.510769793,
1/2/2017 0:30,425.8064516,0.543769793,
1/2/2017 0:40,425.8064516,0.576769793,
1/2/2017 0:50,425.8064516,0.609769793,
1/2/2017 1:00,425.8064516,0.642769793,
1/2/2017 1:10,425.8064516,0.675769793,
1/2/2017 1:20,500,0.714519793,
1/2/2017 1:30,500,0.753269793,
1/2/2017 1:40,500,0.792019793,
1/2/2017 1:50,500,0.830769793,
1/2/2017 2:00,500,0.869519793,
1/2/2017 2:10,500,0.908269793,
1/2/2017 2:20,330,0.933844793,
1/2/2017 2:30,330,0.959419793,
1/2/2017 2:40,330,0.984994793,
1/2/2017 2:50,193.6155805,1,
1/2/2017 3:00,0,1,
1/2/2017 3:10,0,1,
1/2/2017 3:20,0,1,
1/2/2017 3:30,0,1,
1/2/2017 3:40,0,1,
1/2/2017 3:50,0,1,
1/2/2017 4:00,0,1,
1/2/2017 4:10,0,1,
1/2/2017 4:20,0,1,
1/2/2017 4:30,0,1,
1/2/2017 4:40,0,1,
1/2/2017 4:50,0,1,
1/2/2017 5:00,0,1,
1/2/2017 5:10,0,1,
1/2/2017 5:20,0,1,
1/2/2017 5:30,0,1,
1/2/2017 5:40,0,1,
1/2/2017 5:50,0,1,
1/2/2017 6:00,0,1,
1/2/2017 6:10,0,1,
1/2/2017 6:20,0,1,
1/2/2017 6:30,0,1,
1/2/2017 6:40,0,1,
1/2/2017 6:50,0,1,
1/2/2017 7:00,0,1,
1/2/2017 7:10,0,1,
1/2/2017 7:20,0,1,
1/2/2017 7:30,0,1,
1/2/2017 7:40,0,1,
1/2/2017 7:50,0,1,
1/2/2017 8:00,0,1,
1/2/2017 8:10,0,1,
1/2/2017 8:20,0,1,
1/2/2017 8:30,0,1,
1/2/2017 8:40,0,1,
1/2/2017 8:50,0,1,
1/2/2017 9:00,0,1,
1/2/2017 9:10,0,1,
1/2/2017 9:20,0,1,
1/2/2017 9:30,0,1,
1/2/2017 9:40,0,1,
1/2/2017 9:50,0,1,
1/2/2017 10:00,0,1,
1/2/2017 10:10,0,1,
1/2/2017 10:20,-254.0608163,0.978173469,
1/2/2017 10:30,-254.0608163,0.956346939,
1/2/2017 10:40,-254.0608163,0.934520408,
1/2/2017 10:50,-254.0608163,0.912693878,
1/2/2017 11:00,-254.0608163,0.890867347,
1/2/2017 11:10,-254.0608163,0.869040816,
1/2/2017 11:20,-237.4916327,0.848637755,
1/2/2017 11:30,-237.4916327,0.828234694,
1/2/2017 11:40,-237.4916327,0.807831633,
1/2/2017 11:50,-237.4916327,0.787428571,
1/2/2017 12:00,-237.4916327,0.76702551,
1/2/2017 12:10,-237.4916327,0.746622449,
1/2/2017 12:20,-283.5171429,0.722265306,
1/2/2017 12:30,-283.5171429,0.697908163,
1/2/2017 12:40,-283.5171429,0.67355102,
1/2/2017 12:50,-283.5171429,0.649193878,
1/2/2017 13:00,-283.5171429,0.624836735,
1/2/2017 13:10,-283.5171429,0.600479592,
1/2/2017 13:20,-294.5632653,0.575173469,
1/2/2017 13:30,-294.5632653,0.549867347,
1/2/2017 13:40,-294.5632653,0.524561224,
1/2/2017 13:50,-294.5632653,0.499255102,
1/2/2017 14:00,-294.5632653,0.47394898,
1/2/2017 14:10,-294.5632653,0.448642857,
1/2/2017 14:20,-300.0863265,0.422862245,
1/2/2017 14:30,-300.0863265,0.397081633,
1/2/2017 14:40,-300.0863265,0.37130102,
1/2/2017 14:50,-300.0863265,0.345520408,
1/2/2017 15:00,-300.0863265,0.319739796,
1/2/2017 15:10,-300.0863265,0.293959184,
1/2/2017 15:20,-281.6761224,0.269760204,
1/2/2017 15:30,-281.6761224,0.245561224,
1/2/2017 15:40,-281.6761224,0.221362245,
1/2/2017 15:50,-281.6761224,0.197163265,
1/2/2017 16:00,-281.6761224,0.172964286,
1/2/2017 16:10,-280.2953571,0.13975,
1/2/2017 16:20,-279.835102,0.118714286,
1/2/2017 16:30,-279.835102,0.100683673,
1/2/2017 16:40,-279.835102,7.66E-02,
1/2/2017 16:50,-279.835102,5.26E-02,
1/2/2017 17:00,-279.835102,2.86E-02,
1/2/2017 17:10,-279.835102,4.52E-03,
1/2/2017 17:20,-52.6175514,5.17E-19,
1/2/2017 17:30,-6.02E-15,0,
1/2/2017 17:40,0,0,
1/2/2017 17:50,0,0,
1/2/2017 18:00,0,0,
1/2/2017 18:10,0,0,
1/2/2017 18:20,0,0,
1/2/2017 18:30,0,0,
1/2/2017 18:40,0,0,
1/2/2017 18:50,0,0,
1/2/2017 19:00,0,0,
1/2/2017 19:10,0,0,
1/2/2017 19:20,0,0,
1/2/2017 19:30,0,0,
1/2/2017 19:40,0,0,
1/2/2017 19:50,0,0,
1/2/2017 20:00,0,0,
1/2/2017 20:10,0,0,
1/2/2017 20:20,0,0,
1/2/2017 20:30,0,0,
1/2/2017 20:40,0,0,
1/2/2017 20:50,0,0,
1/2/2017 21:00,0,0,
1/2/2017 21:10,0,0,
1/2/2017 21:20,235.7142857,1.83E-02,
1/2/2017 21:30,235.7142857,3.65E-02,
1/2/2017 21:40,235.7142857,5.48E-02,
1/2/2017 21:50,235.7142857,7.31E-02,
1/2/2017 22:00,235.7142857,9.13E-02,
1/2/2017 22:10,235.7142857,0.109607143,
1/2/2017 22:20,347.3684211,0.136528195,
1/2/2017 22:30,347.3684211,0.163449248,
1/2/2017 22:40,347.3684211,0.190370301,
1/2/2017 22:50,347.3684211,0.217291353,
1/2/2017 23:00,347.3684211,0.244212406,
1/2/2017 23:10,335.7894737,0.279658459,
1/2/2017 23:20,330,0.303102209,
1/2/2017 23:30,330,0.322283459,
1/2/2017 23:40,330,0.347858459,
1/2/2017 23:50,330,0.373433459,
1/3/2017 0:00,330,0.399008459,
1/3/2017 0:10,330,0.424583459,
1/3/2017 0:20,244.4444444,0.443527903,
1/3/2017 0:30,244.4444444,0.462472348,
1/3/2017 0:40,244.4444444,0.481416792,
1/3/2017 0:50,244.4444444,0.500361236,
1/3/2017 1:00,244.4444444,0.519305681,
1/3/2017 1:10,244.4444444,0.538250125,
1/3/2017 1:20,321.9512195,0.563201345,
1/3/2017 1:30,321.9512195,0.588152564,
1/3/2017 1:40,321.9512195,0.613103784,
1/3/2017 1:50,321.9512195,0.638055003,
1/3/2017 2:00,321.9512195,0.663006223,
1/3/2017 2:10,321.9512195,0.687957442,
1/3/2017 2:20,275,0.709269942,
1/3/2017 2:30,275,0.730582442,
1/3/2017 2:40,275,0.751894942,
1/3/2017 2:50,275,0.773207442,
1/3/2017 3:00,275,0.794519942,
1/3/2017 3:10,275,0.815832442,
1/3/2017 3:20,293.3333333,0.838565776,
1/3/2017 3:30,293.3333333,0.861299109,
1/3/2017 3:40,293.3333333,0.884032442,
1/3/2017 3:50,293.3333333,0.906765776,
1/3/2017 4:00,293.3333333,0.929499109,
1/3/2017 4:10,293.3333333,0.952232442,
1/3/2017 4:20,471.4285714,0.988768157,
1/3/2017 4:30,144.9270111,1,
1/3/2017 4:40,0,1,
1/3/2017 4:50,0,1,
1/3/2017 5:00,0,1,
1/3/2017 5:10,0,1,
1/3/2017 5:20,0,1,
1/3/2017 5:30,0,1,
1/3/2017 5:40,0,1,
1/3/2017 5:50,0,1,
1/3/2017 6:00,0,1,
1/3/2017 6:10,0,1,
1/3/2017 6:20,0,1,
1/3/2017 6:30,0,1,
1/3/2017 6:40,0,1,
1/3/2017 6:50,0,1,
1/3/2017 7:00,0,1,
1/3/2017 7:10,0,1,
1/3/2017 7:20,0,1,
1/3/2017 7:30,0,1,
1/3/2017 7:40,0,1,
1/3/2017 7:50,0,1,
1/3/2017 8:00,0,1,
1/3/2017 8:10,0,1,
1/3/2017 8:20,0,1,
1/3/2017 8:30,0,1,
1/3/2017 8:40,0,1,
1/3/2017 8:50,0,1,
1/3/2017 9:00,0,1,
1/3/2017 9:10,0,1,
1/3/2017 9:20,0,1,
1/3/2017 9:30,0,1,
1/3/2017 9:40,0,1,
1/3/2017 9:50,0,1,
1/3/2017 10:00,0,1,
1/3/2017 10:10,0,1,
1/3/2017 10:20,-266.9479592,0.977066327,
1/3/2017 10:30,-266.9479592,0.954132653,
1/3/2017 10:40,-266.9479592,0.93119898,
1/3/2017 10:50,-266.9479592,0.908265306,
1/3/2017 11:00,-266.9479592,0.885331633,
1/3/2017 11:10,-266.9479592,0.862397959,
1/3/2017 11:20,-289.0402041,0.837566327,
1/3/2017 11:30,-289.0402041,0.812734694,
1/3/2017 11:40,-289.0402041,0.787903061,
1/3/2017 11:50,-289.0402041,0.763071429,
1/3/2017 12:00,-289.0402041,0.738239796,
