plf,eff
0,0.21529
0.1,0.4404723
0.2,0.6097158
0.3,0.7320043
0.4,0.8163216
0.5,0.8716515
0.6,0.9069778
0.7,0.9312843
0.8,0.9535548
0.9,0.9827731
1,1.027923
