plf,eff
0,1.818847966
0.1,1.670388693
0.2,1.536723747
0.3,1.41785313
0.4,1.313776842
0.5,1.224494881
0.6,1.150007248
0.7,1.090313944
0.8,1.045414968
0.9,1.01531032
1,1
