plf,eff
0.00245058,0.063322266
0.003251103,0.240985131
0.006224473,0.13319737
0.006322496,0.06719907
0.008609704,0.482751084
0.008626041,0.475786002
0.009050809,0.214189285
0.009083483,0.165904336
0.009638948,0.307594981
0.011811795,0.563140071
0.012269237,0.581611726
0.013053423,0.171361402
0.015683712,0.259394402
0.015912433,0.324551978
0.01849371,0.682095794
0.019359582,0.682363959
0.021973534,0.726581762
0.023966672,0.799137158
0.024375102,0.265557686
0.024930567,0.76307105
0.029570332,0.333528525
0.038229048,0.883648286
0.040941023,1.004781525
0.045188695,0.577544755
0.047214507,0.889176136
0.049910145,0.668847467
0.052818167,0.6035657
0.052981539,0.620880864
0.053814736,0.999674787
0.053945434,0.721971748
0.054272178,0.499416819
0.055399445,0.585683567
0.055448456,0.951862106
0.055873223,0.477826843
0.056265316,0.607629777
0.056706421,0.527553498
0.057474269,0.85412408
0.059957523,0.925645308
0.060692697,0.629841204
0.062783859,1.102215382
0.064286881,0.732880388
0.064940369,0.653515484
0.065675543,0.800642775
0.068224146,0.844554866
0.069318739,0.99083342
0.069743506,0.865825931
0.070821761,0.600608488
0.071148505,1.024034718
0.072047051,0.697019488
0.073435713,0.671031786
0.074203562,0.982732569
0.074415945,1.047796682
0.077307629,1.034788206
0.080313674,1.063499196
0.083319719,1.062065416
0.083499428,0.738335291
0.083842509,0.814756989
0.084022219,1.031459236
0.088171867,1.043437955
0.08897239,1.092374414
0.091177912,1.048334244
0.098349943,0.736355938
0.099575233,1.096996428
0.100980232,0.95727542
0.103006045,1.024623592
0.106142787,1.041654059
0.106730926,0.71254034
0.107270054,0.787655728
0.110782552,0.801026561
0.114246038,0.814661872
0.119996733,1.120578946
0.120601209,0.742395925
0.122332952,0.625524506
0.123296847,0.825607754
0.123966672,0.803199981
0.126711322,0.848844557
0.127724228,1.110902256
0.128557425,1.105108258
0.129962424,1.086825963
0.130305506,0.863303869
0.134634864,0.883469178
0.13512498,0.795321541
0.136137886,0.800716102
0.136742362,0.828147482
0.136840386,1.112482875
0.138000327,1.134425738
0.138278059,0.869362917
0.141398464,1.098904615
0.142444045,1.13660548
0.144535207,0.790438066
0.146757066,1.122509655
0.147704623,0.827782066
0.14790067,1.068314835
0.149959157,1.069240375
0.153046888,1.164285533
0.15566084,1.098920797
0.156755432,1.047271123
0.157229211,0.967544438
0.158160431,0.960725702
0.167227577,0.845855945
0.167603333,1.10656023
0.168681588,1.143329905
0.168714262,1.158152826
0.169890541,1.044544415
0.171377226,0.97310067
0.173010946,1.042274226
0.17415455,1.167267675
0.176131351,0.866436936
0.177209606,0.96439675
0.179088384,1.052794109
0.180869139,1.037763963
0.182421173,1.121586974
0.183532103,1.118485285
0.1843653,1.138672382
0.18447966,1.127794373
0.184643032,1.134103311
0.185100474,1.13614944
0.185116811,1.126490333
0.185525241,1.11275015
0.185557915,1.112289176
0.185557915,1.135069477
0.185606927,1.11985427
0.185753962,1.115146527
0.186015357,1.112987296
0.186048031,1.113401469
0.186162392,1.116791546
0.186309427,1.12557889
0.186325764,1.115867282
0.186423787,1.117772711
0.186472799,1.132931519
0.186505473,1.116650843
0.18652181,1.122262558
0.186570822,1.121081373
0.186734194,1.120589565
0.186783205,1.119193502
0.186881229,1.125462396
0.186897566,1.127864672
0.186962915,1.122330576
0.186995589,1.121495459
0.187011926,1.141900216
0.187077275,1.124494245
0.187077275,1.12073512
0.187077275,1.127088661
0.187126287,1.137053015
0.187142624,1.13851478
0.187158961,1.121371488
0.187175298,1.120808086
0.187305996,1.122767688
0.18733867,1.122521813
0.18733867,1.145579099
0.187355007,1.122693309
0.187371345,1.12249682
0.187387682,1.124142083
0.187387682,1.125323913
0.187387682,1.127546555
0.187404019,1.12342895
0.187436693,1.123477443
0.187469368,1.125814464
0.187469368,1.123010443
0.187551054,1.12519601
0.187551054,1.132780599
0.187551054,1.12475302
0.187567391,1.125515669
0.187567391,1.126921454
0.187616403,1.140941418
0.18763274,1.126943663
0.187649077,1.134197133
0.187649077,1.141823892
0.187665414,1.13145247
0.187698089,1.13239648
0.187698089,1.129935073
0.187698089,1.125191806
0.187698089,1.138181679
0.187714426,1.139944678
0.187730763,1.125756876
0.187763437,1.124993236
0.187796112,1.13418576
0.187796112,1.128889312
0.187828786,1.134233194
0.187828786,1.12575378
0.187845123,1.131267299
0.187845123,1.130894705
0.187845123,1.125630247
0.187861461,1.142355666
0.187877798,1.135880056
0.187894135,1.140505542
0.187926809,1.133327497
0.187943147,1.134249297
0.187959484,1.127350341
0.187959484,1.134422802
0.187959484,1.127128436
0.187975821,1.128411011
0.187992158,1.140494575
0.188008495,1.130463415
0.188008495,1.128310717
0.188024833,1.137370908
0.188024833,1.13011555
0.18804117,1.128136418
0.18804117,1.128951599
0.18804117,1.133643152
0.18804117,1.134166844
0.188057507,1.13217333
0.188057507,1.162025781
0.188073844,1.131973426
0.188073844,1.134064556
0.188090181,1.130136717
0.188106519,1.135460191
0.188106519,1.144988528
0.188139193,1.134533454
0.18815553,1.135156259
0.188171867,1.135030049
0.188188205,1.135353386
0.188188205,1.138735993
0.188204542,1.128153839
0.188204542,1.136877831
0.188204542,1.136277023
0.188204542,1.133357158
0.188204542,1.144594196
0.188237216,1.133105965
0.188253553,1.129188226
0.188253553,1.136122623
0.188253553,1.137399418
0.188269891,1.141952093
0.188302565,1.134395914
0.188318902,1.140659656
0.188318902,1.136667122
0.188318902,1.134793536
0.188318902,1.13404583
0.188318902,1.136667122
0.188318902,1.134793536
0.188318902,1.140055213
0.188351577,1.131856127
