plf,cop
0.25,0.717703349
0.333333,0.837320574
0.416666,0.937799043
0.499999,1.016746411
0.583332,1.064593301
0.666665,1.09569378
0.749998,1.100478469
0.833331,1.088516746
0.916664,1.052631579
0.999997,1
