Date/Time,Regen_Valve,T_OA,CFM_OA,RH_OA,T_CA,RH_CA,T_HW,FanStatus,T_HW_out
 05/06  02:00:00,0,18.00833333,0,72.08333333,18.00833333,72.08333333,27.02750677,0,27.02750677
 05/06  03:00:00,0,17.15833333,0,80.25,17.15833333,80.25,26.21110956,0,26.21110956
 05/06  04:00:00,0,16.99166667,0,84,16.99166667,84,25.5140088,0,25.5140088
 05/06  05:00:00,0,16.55833333,0,84,16.55833333,84,24.67864932,0,24.67864932
 05/06  06:00:00,0,17.73333333,0,77.58333333,17.73333333,77.58333333,24.04478418,0,24.04478418
 05/06  07:00:00,0,18.9,0,74.75,18.9,74.75,23.59663325,0,23.59663325
 05/06  08:00:00,0.511269721,20.53333333,1005.519084,71.33333333,23.41651388,54.43077418,46.2454107,1,41.75668042
 05/06  09:00:00,0.466083749,22.98333333,1005.519084,64.5,24.44681182,54.01390485,46.42012271,1,41.88620646
 05/06  10:00:00,0.424636475,25.18333333,1005.519084,57.33333333,25.57768401,51.2796914,46.54724689,1,41.97188337
 05/06  11:00:00,0.394584573,26.74166667,1005.519084,52.25,26.45807834,48.67932801,46.5716883,1,41.96627287
 05/06  12:00:00,0.335793866,27.2,1005.519084,49.83333333,26.88816046,46.99080612,44.10436426,1,39.44015813
 05/06  13:00:00,0,27.84166667,1005.519084,46.08333333,26.74431896,49.13207373,27.49780328,1,27.49780328
 05/06  14:00:00,0.180066154,28.3,1005.519084,44,27.50261189,44.06521663,37.440704,1,32.62077015
 05/06  15:00:00,0.190706533,28.65,1005.519084,44,27.77325673,44.13594304,38.35068499,1,33.54139152
 05/06  16:00:00,0.295879138,29.54166667,1005.519084,41.66666667,28.28454951,41.3316891,44.30687706,1,39.6027562
 05/06  17:00:00,0.233469456,28.71666667,1005.519084,42.33333333,27.93517565,41.61878426,40.27260788,1,35.50607734
 05/06  18:00:00,0,27.45,0,48.08333333,27.45,48.08333333,29.88597338,0,29.88597338
 05/06  19:00:00,0,26.90833333,0,52.75,26.90833333,52.75,31.47720083,0,31.47720083
 05/06  20:00:00,0,25.06666667,0,59.83333333,25.06666667,59.83333333,31.8434163,0,31.8434163
 05/06  21:00:00,0,23.25833333,0,66.91666667,23.25833333,66.91666667,31.03098171,0,31.03098171
 05/06  22:00:00,0,22.45,0,68.41666667,22.45,68.41666667,30.07290448,0,30.07290448
 05/06  23:00:00,0,21.55833333,0,69.75,21.55833333,69.75,29.26032561,0,29.26032561
 05/06  24:00:00,0,20.80833333,0,71,20.80833333,71,28.52971037,0,28.52971037
 05/07  01:00:00,0,20.25,0,72.16666667,20.25,72.16666667,27.30912882,0,27.30912882
 05/07  02:00:00,0,19.35833333,0,73,19.35833333,73,26.63484558,0,26.63484558
 05/07  03:00:00,0,17.90833333,0,75.91666667,17.90833333,75.91666667,25.93565128,0,25.93565128
 05/07  04:00:00,0,16.90833333,0,83.25,16.90833333,83.25,24.79773414,0,24.79773414
 05/07  05:00:00,0,16.35,0,87,16.35,87,24.1582383,0,24.1582383
 05/07  06:00:00,0,16.1,0,90.5,16.1,90.5,23.59364757,0,23.59364757
 05/07  07:00:00,0,17.73333333,0,86,17.73333333,86,23.16377341,0,23.16377341
 05/07  08:00:00,0.518672515,20.18333333,1005.519084,76.33333333,23.23654399,57.89263336,46.54639768,1,42.0650702
 05/07  09:00:00,0.477073396,22.38333333,1005.519084,70.66666667,24.22790871,58.1260864,46.44884169,1,41.92591509
 05/07  10:00:00,0.440425828,24.29166667,1005.519084,66.08333333,25.29758974,57.46760934,46.17620456,1,41.61663039
 05/07  11:00:00,0.403380001,26.28333333,1005.519084,60.5,26.25468916,56.10121956,46.20410348,1,41.60748348
 05/07  12:00:00,0.379211823,27.55,1005.519084,55.08333333,26.93676183,52.79805098,46.24517233,1,41.62438415
 05/07  13:00:00,0.367682738,28.09166667,1005.519084,51.83333333,27.36137668,49.89814116,46.43655999,1,41.80424273
 05/07  14:00:00,0.501760059,22.81666667,1142.095127,70.25,25.68522942,54.07293249,46.11233006,1,41.61409012
 05/07  15:00:00,0.488003891,20.825,1005.519084,84,25.85180531,57.46205781,46.24675187,1,41.73475576
 05/07  16:00:00,0.477194048,21.55833333,1005.519084,87.5,25.89916441,62.80678193,46.48406968,1,41.96126373
 05/07  17:00:00,0.453407945,23.025,1005.519084,76,26.15614662,58.32824406,46.53580809,1,41.98921604
 05/07  18:00:00,0,24.4,0,67.75,24.4,67.75,27.46626047,0,27.46626047
 05/07  19:00:00,0,22.825,0,76,22.825,76,28.2184876,0,28.2184876
 05/07  20:00:00,0,21.7,0,82.75,21.7,82.75,28.31152975,0,28.31152975
 05/07  21:00:00,0,21.7,0,82.25,21.7,82.25,28.07450393,0,28.07450393
 05/07  22:00:00,0,21.35,0,81,21.35,81,27.30053896,0,27.30053896
 05/07  23:00:00,0,19.81666667,0,86.25,19.81666667,86.25,26.97094489,0,26.97094489
 05/07  24:00:00,0,18.55,0,90,18.55,90,26.13766962,0,26.13766962
 05/08  01:00:00,0,18.00833333,0,91.75,18.00833333,91.75,25.23340044,0,25.23340044
 05/08  02:00:00,0,17.45,0,95.33333333,17.45,95.33333333,24.74619671,0,24.74619671
 05/08  03:00:00,0,16.90833333,0,97,16.90833333,97,24.26590231,0,24.26590231
 05/08  04:00:00,0,16.99166667,0,97,16.99166667,97,23.71711582,0,23.71711582
 05/08  05:00:00,0,17.2,0,94.66666667,17.2,94.66666667,23.21073022,0,23.21073022
 05/08  06:00:00,0,16.90833333,0,95.33333333,16.90833333,95.33333333,22.74051948,0,22.74051948
 05/08  07:00:00,0,16.99166667,0,98.75,16.99166667,98.75,22.38736182,0,22.38736182
 05/08  08:00:00,0.68970983,17.84166667,1253.35717,98.25,20.83412686,75.30642805,46.54716824,1,42.23687807
 05/08  09:00:00,0.542787902,20.28333333,1046.825432,87.66666667,22.79553756,69.56651658,46.32829663,1,41.87108453
 05/08  10:00:00,0.478081971,22.34166667,1005.519084,78.08333333,24.26393611,64.48335776,46.3485852,1,41.82666717
 05/08  11:00:00,0.448963266,23.73333333,1005.519084,71.91666667,25.31265692,60.68998434,46.16294536,1,41.61190863
 05/08  12:00:00,0.433557286,24.4,1005.519084,66.08333333,25.99987914,55.55144775,46.33135541,1,41.7649127
 05/08  13:00:00,0.407546703,25.74166667,1005.519084,59.33333333,26.74582174,51.53411017,46.5535164,1,41.9610631
 05/08  14:00:00,0.378306933,27.34166667,1005.519084,53.08333333,27.43016393,48.62776754,46.4835259,1,41.86183283
 05/08  15:00:00,0.358788411,28.44166667,1005.519084,49.83333333,27.83498046,47.55761624,46.47417393,1,41.83296234
 05/08  16:00:00,0.361503017,28.25833333,1005.519084,50.16666667,27.84587766,47.32544106,46.21116627,1,41.57266929
 05/08  17:00:00,0.368573086,27.8,1005.519084,51,27.81684833,46.88738372,46.4678267,1,41.83639979
 05/08  18:00:00,0,26.80833333,0,52.75,26.80833333,52.75,29.08162059,0,29.08162059
 05/08  19:00:00,0,25.10833333,0,58.66666667,25.10833333,58.66666667,30.53467224,0,30.53467224
 05/08  20:00:00,0,23.46666667,0,63.16666667,23.46666667,63.16666667,30.74593226,0,30.74593226
 05/08  21:00:00,0,21.51666667,0,68.08333333,21.51666667,68.08333333,30.09334633,0,30.09334633
 05/08  22:00:00,0,20.25,0,71,20.25,71,29.37160923,0,29.37160923
 05/08  23:00:00,0,19.00833333,0,75.08333333,19.00833333,75.08333333,28.49724004,0,28.49724004
 05/08  24:00:00,0,17.65833333,0,83.25,17.65833333,83.25,27.53929191,0,27.53929191
 05/09  01:00:00,0,17.2,0,87,17.2,87,26.44320676,0,26.44320676
 05/09  02:00:00,0,16.90833333,0,88.75,16.90833333,88.75,25.53316553,0,25.53316553
 05/09  03:00:00,0,16.35,0,90,16.35,90,24.83829789,0,24.83829789
 05/09  04:00:00,0,16.1,0,88.25,16.1,88.25,23.77969059,0,23.77969059
 05/09  05:00:00,0,16.1,0,85.25,16.1,85.25,23.36862392,0,23.36862392
 05/09  06:00:00,0,15.80833333,0,84,15.80833333,84,22.78681177,0,22.78681177
 05/09  07:00:00,0,15.25,0,84,15.25,84,22.23657533,0,22.23657533
 05/09  08:00:00,0.676932892,15.99166667,1253.35717,77.58333333,18.9981266,57.11181771,46.46115469,1,42.13808758
 05/09  09:00:00,0.612819426,18.275,1668.086799,61.33333333,20.75210001,48.40079685,38.03227497,1,33.6450944
 05/09  10:00:00,0,20.1,1005.519084,40.75,22.98212043,34.12998564,21.5268056,1,21.5268056
 05/09  11:00:00,0,21.24166667,1005.519084,31.41666667,23.83991535,26.82836481,22.48523257,1,22.48523257
 05/09  12:00:00,0,21.99166667,1005.519084,32.16666667,24.4732585,27.687393,23.01237872,1,23.01237872
 05/09  13:00:00,0,22.84166667,1005.519084,33,25.05983944,28.88230781,23.68909484,1,23.68909484
 05/09  14:00:00,0,23.00833333,1005.519084,31.25,25.42649969,27.04185481,24.273678,1,24.273678
 05/09  15:00:00,0,22.8,1005.519084,30,25.62309459,25.32736617,23.76862545,1,23.76862545
 05/09  16:00:00,0,22.8,1005.519084,28.25,25.7050753,23.73445659,23.8863182,1,23.8863182
 05/09  17:00:00,0,21.80833333,1005.519084,27.58333333,25.47261973,22.11933286,23.22485874,1,23.22485874
 05/09  18:00:00,0,20.45833333,0,26.25,20.45833333,26.25,28.68142547,0,28.68142547
 05/09  19:00:00,0,18.71666667,0,26.16666667,18.71666667,26.16666667,30.08118373,0,30.08118373
 05/09  20:00:00,0,16.51666667,0,28.75,16.51666667,28.75,29.53332754,0,29.53332754
 05/09  21:00:00,0,14.25833333,0,32.33333333,14.25833333,32.33333333,28.70927308,0,28.70927308
 05/09  22:00:00,0,12.01666667,0,38.08333333,12.01666667,38.08333333,27.78131273,0,27.78131273
 05/09  23:00:00,0,11.74166667,0,39.25,11.74166667,39.25,26.59178774,0,26.59178774
 05/09  24:00:00,0,11.55833333,0,39.75,11.55833333,39.75,25.20550409,0,25.20550409
 05/10  01:00:00,0,10.80833333,0,42.16666667,10.80833333,42.16666667,24.01453781,0,24.01453781
 05/10  02:00:00,0,10.6,0,43,10.6,43,22.82410449,0,22.82410449
 05/10  03:00:00,0,10.25,0,43.58333333,10.25,43.58333333,22.0845014,0,22.0845014
 05/10  04:00:00,0,9.358333333,0,47.5,9.358333333,47.5,21.62782038,0,21.62782038
 05/10  05:00:00,0,8.9,0,50,8.9,50,20.82967161,0,20.82967161
 05/10  06:00:00,0,9.191666667,0,48.83333333,9.191666667,48.83333333,20.1267248,0,20.1267248
 05/10  07:00:00,0,9.4,0,48,9.4,48,19.64795907,0,19.64795907
 05/10  08:00:00,0.019877888,10.39166667,1005.519084,47.41666667,10.49208678,46.7664332,21.17515324,1,16.19503113
 05/10  09:00:00,0,12.73333333,1330.532007,42.33333333,12.73333333,42.33333333,21.52818054,1,21.52818054
 05/10  10:00:00,0,14.89166667,2072.625583,36.66666667,14.89166667,36.66666667,23.34614409,1,23.34614409
 05/10  11:00:00,0,16.53333333,2162.449315,35,16.53333333,35,24.34038493,1,24.34038493
 05/10  12:00:00,0,17.55,2025.353218,36.16666667,17.55,36.16666667,25.2505513,1,25.2505513
 05/10  13:00:00,0,19.08333333,1391.14354,35.83333333,21.298142,31.6453348,23.29982848,1,23.29982848
 05/10  14:00:00,0,20.35,1005.519084,35.58333333,24.55269461,27.56102671,21.80122521,1,21.80122521
 05/10  15:00:00,0,21.24166667,1005.519084,34.83333333,25.15259432,27.49646981,22.84425095,1,22.84425095
 05/10  16:00:00,0,21.99166667,1005.519084,33.41666667,25.53058732,27.00545881,23.34255305,1,23.34255305
 05/10  17:00:00,0,21.90833333,1005.519084,30.66666667,25.55127893,24.63457108,23.49876102,1,23.49876102
 05/10  18:00:00,0,21.35,0,26.66666667,21.35,26.66666667,28.84243703,0,28.84243703
 05/10  19:00:00,0,20.45833333,0,23.83333333,20.45833333,23.83333333,30.46782539,0,30.46782539
 05/10  20:00:00,0,18.075,0,28.25,18.075,28.25,30.13373485,0,30.13373485
 05/10  21:00:00,0,15.70833333,0,35.5,15.70833333,35.5,29.6248473,0,29.6248473
 05/10  22:00:00,0,14.00833333,0,40.33333333,14.00833333,40.33333333,28.2691865,0,28.2691865
 05/10  23:00:00,0,12.65833333,0,44.91666667,12.65833333,44.91666667,27.11326864,0,27.11326864
 05/10  24:00:00,0,11.55833333,0,48.75,11.55833333,48.75,25.776971,0,25.776971
 05/11  01:00:00,0,10.45833333,0,52.33333333,10.45833333,52.33333333,24.61396215,0,24.61396215
 05/11  02:00:00,0,10,0,54,10,54,23.8726768,0,23.8726768
 05/11  03:00:00,0,10,0,55.75,10,55.75,22.68768788,0,22.68768788
 05/11  04:00:00,0,9.65,0,60.5,9.65,60.5,22.2016532,0,22.2016532
 05/11  05:00:00,0,8.758333333,0,64.75,8.758333333,64.75,21.65821454,0,21.65821454
