Date/Time,Outdoor Air Temperature,Building Electric Load,Building Heating Load,Building Cooling Load,ChW Supply Temp,ChW Return Temp,HW Supply Temp,HW Return Temp,HW Mass Flow Rate (kg/s),CHW Mass Flow Rate (kg/s)
 01/03  12:00:00,-3.5,1114.4,306.1,141.5,6.7,9.8,82.0,59.5,3.27,10.83
 01/03  13:00:00,-3.0,1070.9,295.1,149.0,6.7,9.8,82.0,59.5,3.14,11.37
 01/03  14:00:00,-2.8,1113.3,289.9,151.7,6.7,9.9,82.0,59.6,3.09,11.53
 01/03  15:00:00,-2.8,1112.3,282.5,152.8,6.7,9.8,82.0,59.6,3.01,11.59
 01/03  16:00:00,-2.8,1111.1,278.1,153.1,6.7,9.8,82.0,59.5,2.96,11.66
 01/03  17:00:00,-2.8,867.8,342.1,139.3,6.7,10.3,82.0,59.9,3.66,10.08
 01/03  18:00:00,-2.8,876.5,365.3,158.0,6.7,9.9,82.0,60.1,3.94,11.44
 01/03  19:00:00,-2.8,801.1,377.9,153.1,6.7,9.9,82.0,60.2,4.11,11.38
 01/03  20:00:00,-2.8,797.4,381.3,151.5,6.7,9.9,82.0,60.3,4.18,11.36
 01/03  21:00:00,-2.8,792.7,388.2,150.5,6.7,9.9,82.0,60.4,4.27,11.31
 01/03  22:00:00,-2.8,752.0,396.5,149.8,6.7,9.9,82.0,60.5,4.38,11.26
 01/03  23:00:00,-2.8,740.4,406.4,149.5,6.7,9.9,82.0,60.7,4.52,11.19
 01/03  24:00:00,-2.8,642.8,443.1,149.8,6.7,9.9,82.0,61.2,5.01,11.19
 01/04  01:00:00,-2.8,641.3,445.0,149.2,6.7,9.9,82.0,61.3,5.10,11.14
 01/04  02:00:00,-2.8,642.0,451.5,149.1,6.7,9.9,82.0,61.5,5.22,11.12
 01/04  03:00:00,-2.8,642.5,457.4,148.9,6.7,9.9,82.0,61.6,5.33,11.08
 01/04  04:00:00,-3.1,642.5,462.8,146.1,6.7,9.9,82.0,61.6,5.42,10.86
 01/04  05:00:00,-3.3,642.5,464.9,142.6,6.7,9.9,82.0,61.6,5.45,10.64
 01/04  06:00:00,-3.3,642.3,465.2,142.5,6.7,9.9,82.0,61.6,5.46,10.66
 01/04  07:00:00,-3.0,636.1,464.5,145.9,6.7,9.9,82.0,61.6,5.44,10.94
 01/04  08:00:00,-2.8,833.4,403.6,144.5,6.7,10.1,82.0,60.8,4.66,10.57
 01/04  09:00:00,-2.4,1056.5,337.2,159.0,6.7,9.9,82.0,60.3,3.80,11.75
 01/04  10:00:00,-1.9,1098.3,313.3,164.5,6.7,9.9,82.0,60.2,3.48,12.30
 01/04  11:00:00,-1.7,1095.4,299.7,167.2,6.7,9.9,82.0,60.0,3.29,12.54
 01/04  12:00:00,-1.3,1090.8,291.1,171.8,6.7,9.9,82.0,59.8,3.17,12.92
 01/04  13:00:00,-0.8,1047.1,282.9,179.3,6.7,9.9,82.0,59.7,3.06,13.48
 01/04  14:00:00,-0.6,1088.9,278.2,182.1,6.7,9.9,82.0,59.7,3.00,13.68
 01/04  15:00:00,-0.9,1085.0,280.3,178.9,6.7,9.9,82.0,59.6,3.01,13.43
 01/04  16:00:00,-1.1,1086.2,286.2,175.1,6.7,9.9,82.0,59.8,3.07,13.15
 01/04  17:00:00,-2.2,863.7,354.6,157.2,6.7,10.1,82.0,60.5,3.85,11.50
 01/04  18:00:00,-3.5,885.0,393.0,147.1,6.7,9.9,82.0,60.6,4.33,10.83
 01/04  19:00:00,-4.6,815.9,417.8,130.5,6.7,9.9,82.0,60.7,4.65,9.75
 01/04  20:00:00,-5.0,819.0,423.9,122.3,6.7,9.8,82.0,60.8,4.75,9.22
 01/04  21:00:00,-4.6,817.4,432.2,131.5,6.7,9.7,82.0,61.0,4.87,10.06
 01/04  22:00:00,-4.8,777.6,442.4,130.5,6.7,9.5,82.0,61.1,5.03,10.47
 01/04  23:00:00,-5.7,774.9,451.7,116.7,6.7,9.5,82.0,61.1,5.16,9.64
 01/04  24:00:00,-6.8,683.1,496.7,93.8,6.7,9.7,82.0,61.5,5.72,7.76
 01/05  01:00:00,-7.2,683.8,507.5,93.3,6.7,9.5,82.0,61.7,5.93,7.69
 01/05  02:00:00,-6.9,680.4,504.6,92.4,6.7,9.6,82.0,61.8,5.95,7.77
 01/05  03:00:00,-7.0,678.4,502.7,89.3,6.7,9.7,82.0,61.7,5.93,7.30
 01/05  04:00:00,-8.3,682.3,523.2,76.8,6.7,9.7,82.0,61.7,6.16,6.19
 01/05  05:00:00,-11.0,695.7,580.5,53.0,6.7,9.3,82.0,62.4,6.94,4.31
 01/05  06:00:00,-13.6,706.2,629.6,24.8,6.7,9.0,82.0,63.6,7.92,2.10
 01/05  07:00:00,-14.8,711.6,640.7,7.3,6.7,8.9,82.0,64.2,8.45,0.63
 01/05  08:00:00,-14.3,908.5,570.1,9.1,6.7,9.4,82.0,63.2,7.44,0.79
 01/05  09:00:00,-13.9,1128.2,465.2,13.2,6.7,9.4,82.0,61.1,5.65,1.14
 01/05  10:00:00,-12.5,1169.0,406.2,26.2,6.7,9.4,82.0,59.9,4.62,2.28
 01/05  11:00:00,-10.3,1168.3,357.4,47.4,6.7,9.6,82.0,59.3,3.89,4.09
 01/05  12:00:00,-8.4,1168.2,336.8,72.2,6.7,9.7,82.0,59.6,3.60,6.09
 01/05  13:00:00,-7.1,1122.8,317.0,90.2,6.7,9.7,82.0,59.9,3.40,7.42
 01/05  14:00:00,-6.0,1159.7,289.8,106.4,6.7,9.8,82.0,59.9,3.12,8.54
 01/05  15:00:00,-4.5,1156.9,276.4,126.4,6.7,9.8,82.0,60.1,2.99,9.92
 01/05  16:00:00,-3.5,1156.4,285.7,141.2,6.7,9.9,82.0,60.2,3.11,10.80
 01/05  17:00:00,-4.0,911.9,363.0,138.4,6.7,9.8,82.0,60.3,3.98,10.48
 01/05  18:00:00,-4.8,916.6,400.2,126.8,6.7,9.8,82.0,60.5,4.41,9.61
 01/05  19:00:00,-5.4,841.0,423.6,118.5,6.7,9.8,82.0,60.7,4.71,9.00
 01/05  20:00:00,-6.3,843.9,439.8,107.3,6.7,9.8,82.0,60.7,4.91,8.19
 01/05  21:00:00,-7.4,844.7,462.5,100.2,6.7,9.4,82.0,60.8,5.19,7.96
 01/05  22:00:00,-8.5,809.0,474.3,80.8,6.7,9.3,82.0,60.8,5.35,6.76
 01/05  23:00:00,-8.9,799.4,482.9,71.0,6.7,9.3,82.0,61.0,5.46,6.15
 01/05  24:00:00,-9.6,700.3,539.1,60.2,6.7,9.3,82.0,61.7,6.22,5.32
 01/06  01:00:00,-10.7,699.1,558.7,48.8,6.7,9.2,82.0,62.2,6.61,4.38
 01/06  02:00:00,-11.1,700.6,562.5,39.9,6.7,9.4,82.0,62.4,6.81,3.62
 01/06  03:00:00,-11.8,701.3,575.9,34.0,6.7,9.5,82.0,62.6,7.04,3.03
 01/06  04:00:00,-13.3,704.8,604.9,22.6,6.7,9.4,82.0,63.2,7.56,2.00
 01/06  05:00:00,-13.9,708.2,613.2,13.1,6.7,9.4,82.0,63.7,7.89,1.17
 01/06  06:00:00,-14.2,708.6,621.0,11.0,6.7,9.3,82.0,63.9,8.12,0.98
 01/06  07:00:00,-14.4,711.7,630.6,9.8,6.7,9.0,82.0,64.2,8.39,0.88
 01/06  08:00:00,-14.8,919.9,570.6,5.6,6.7,9.4,82.0,63.1,7.43,0.51
 01/06  09:00:00,-14.3,1147.3,467.1,9.4,6.7,9.4,82.0,61.1,5.68,0.84
 01/06  10:00:00,-13.5,1186.8,422.1,17.2,6.7,9.4,82.0,60.2,4.82,1.54
 01/06  11:00:00,-12.6,1185.2,395.0,25.5,6.7,9.4,82.0,59.7,4.34,2.29
 01/06  12:00:00,-11.5,1185.4,384.7,35.3,6.7,9.5,82.0,59.3,4.13,3.13
 01/06  13:00:00,-11.5,1141.2,378.0,37.3,6.7,9.5,82.0,59.0,3.99,3.28
 01/06  14:00:00,-11.3,1182.5,379.1,37.7,6.7,9.5,82.0,59.0,3.97,3.29
 01/06  15:00:00,-11.5,1183.0,374.0,37.9,6.7,9.5,82.0,58.9,3.90,3.28
 01/06  16:00:00,-12.0,1181.7,379.1,33.1,6.7,9.4,82.0,59.0,3.94,2.86
 01/06  17:00:00,-13.6,941.7,508.8,18.3,6.7,9.5,82.0,60.7,5.44,1.58
 01/06  18:00:00,-15.2,950.4,564.5,4.8,6.7,9.3,82.0,61.8,6.43,0.42
 01/06  19:00:00,-16.6,875.5,625.2,0.2,6.7,7.2,82.0,63.1,7.60,0.02
 01/06  20:00:00,-17.2,876.0,632.9,0.0,6.7,6.7,82.0,63.5,8.07,0.00
 01/06  21:00:00,-18.3,871.8,649.3,0.0,6.7,6.7,82.0,63.6,8.39,0.00
 01/06  22:00:00,-18.5,833.8,666.8,0.0,6.7,6.7,82.0,63.8,8.68,0.00
 01/06  23:00:00,-18.0,822.9,665.8,0.0,6.7,6.7,82.0,63.9,8.76,0.00
 01/06  24:00:00,-18.5,718.3,721.7,0.0,6.7,6.7,82.0,64.6,9.75,0.00
 01/07  01:00:00,-18.9,713.3,715.4,0.0,6.7,6.7,82.0,64.7,9.85,0.00
 01/07  02:00:00,-19.2,712.7,725.3,0.0,6.7,6.7,82.0,64.8,10.04,0.00
 01/07  03:00:00,-19.8,709.8,739.8,0.0,6.7,6.7,82.0,64.9,10.32,0.00
 01/07  04:00:00,-20.4,708.3,764.0,0.0,6.7,6.7,82.0,65.3,10.81,0.00
 01/07  05:00:00,-20.9,706.9,774.6,0.0,6.7,6.7,82.0,65.4,11.13,0.00
 01/07  06:00:00,-21.8,704.1,797.6,0.0,6.7,6.7,82.0,65.7,11.60,0.00
 01/07  07:00:00,-22.6,701.2,811.9,0.0,6.7,6.7,82.0,65.9,12.02,0.00
 01/07  08:00:00,-22.1,773.6,779.3,0.0,6.7,6.7,82.0,65.4,11.38,0.00
 01/07  09:00:00,-19.6,914.7,669.5,0.0,6.7,6.7,82.0,64.0,9.18,0.00
 01/07  10:00:00,-16.9,959.1,606.5,0.0,6.7,6.7,82.0,63.5,7.93,0.00
 01/07  11:00:00,-15.0,962.0,560.2,4.5,6.7,9.4,82.0,63.4,7.22,0.39
 01/07  12:00:00,-14.4,965.6,533.7,8.9,6.7,9.4,82.0,63.4,6.86,0.77
 01/07  13:00:00,-13.7,934.1,505.3,15.7,6.7,9.4,82.0,63.2,6.47,1.36
 01/07  14:00:00,-13.0,935.6,471.4,22.5,6.7,9.5,82.0,62.4,5.87,1.96
 01/07  15:00:00,-13.1,935.5,465.9,22.4,6.7,9.4,82.0,62.0,5.65,1.95
 01/07  16:00:00,-13.7,934.6,486.5,17.3,6.7,9.4,82.0,62.1,5.83,1.50
 01/07  17:00:00,-15.3,942.8,561.3,5.8,6.7,9.2,82.0,62.8,6.85,0.51
 01/07  18:00:00,-16.5,907.4,592.7,0.0,6.7,6.7,82.0,63.1,7.44,0.00
 01/07  19:00:00,-17.7,711.2,682.5,0.0,6.7,6.7,82.0,64.0,8.85,0.00
 01/07  20:00:00,-18.3,710.8,696.6,0.0,6.7,6.7,82.0,64.3,9.32,0.00
 01/07  21:00:00,-19.0,708.7,716.7,0.0,6.7,6.7,82.0,64.5,9.70,0.00
 01/07  22:00:00,-19.8,706.3,741.8,0.0,6.7,6.7,82.0,64.7,10.20,0.00
 01/07  23:00:00,-19.6,706.2,739.6,0.0,6.7,6.7,82.0,64.8,10.26,0.00
 01/07  24:00:00,-19.8,706.5,749.0,0.0,6.7,6.7,82.0,64.9,10.42,0.00
 01/08  01:00:00,-20.7,675.9,773.8,0.0,6.7,6.7,82.0,65.2,10.92,0.00
 01/08  02:00:00,-21.1,676.9,784.9,0.0,6.7,6.7,82.0,65.4,11.25,0.00
 01/08  03:00:00,-21.1,675.9,788.0,0.0,6.7,6.7,82.0,65.5,11.38,0.00
 01/08  04:00:00,-21.1,675.7,792.3,0.0,6.7,6.7,82.0,65.6,11.50,0.00
 01/08  05:00:00,-21.5,675.4,805.5,0.0,6.7,6.7,82.0,65.7,11.78,0.00
 01/08  06:00:00,-21.7,674.2,812.9,0.0,6.7,6.7,82.0,65.9,12.00,0.00
 01/08  07:00:00,-21.7,673.5,811.7,0.0,6.7,6.7,82.0,65.9,12.02,0.00
