timestamp,tempm,elec_load,heat_load,cool_load,
1/4/2012 9:00,11.88333333,990.0910714,157.5220026,310.6832193,
1/4/2012 10:00,13.44166667,932.4311079,98.17464188,545.5775564,
1/4/2012 11:00,14.54166667,947.6489263,113.3261644,611.1837207,
1/4/2012 12:00,15.35,899.4226692,159.1446931,712.1915553,
1/4/2012 13:00,15.6,942.4053092,157.2400503,732.3875078,
1/4/2012 14:00,15.25,941.7028085,148.2299805,731.6020015,
1/4/2012 15:00,15,940.1799637,153.0218633,724.6336313,
1/4/2012 16:00,14.35833333,681.2776231,141.5329553,591.0952259,
1/4/2012 17:00,13.25833333,697.4286496,112.6478181,474.1105736,
1/4/2012 18:00,12.15833333,607.8073115,161.2673468,273.7232837,
1/4/2012 19:00,11.99166667,625.5796139,202.7323865,271.366131,
1/4/2012 20:00,12.2,685.2759184,197.9274392,314.9482943,
1/4/2012 21:00,11.90833333,601.2650838,203.3595359,292.521873,
1/4/2012 22:00,11.05833333,556.1707721,223.1331207,258.1235705,
1/4/2012 23:00,10.25,475.3677551,247.8756092,267.6314579,
1/5/2012 0:00,10,471.9840746,268.3373228,264.2406286,
1/5/2012 1:00,9.358333333,481.6508952,267.6773056,262.7851379,
1/5/2012 2:00,8.55,503.9106213,277.1723501,265.4817161,
1/5/2012 3:00,8.3,522.0990239,281.1422865,274.6307193,
1/5/2012 4:00,8.008333333,535.7997813,285.6056965,272.0781288,
1/5/2012 5:00,7.8,537.3310424,296.9658058,269.4148539,
1/5/2012 6:00,8.733333333,527.0979352,281.9440057,276.8098487,
1/5/2012 7:00,8.758333333,682.4770102,250.6357764,258.9818222,
1/5/2012 8:00,8.941666667,872.0159921,238.6409861,238.6780472,
1/5/2012 9:00,9.75,914.3613539,227.7389355,251.1770342,
1/5/2012 10:00,10.99166667,914.2185264,197.6318236,262.857452,
1/5/2012 11:00,12.63333333,921.3380633,170.390269,336.4111083,
1/5/2012 12:00,13.3,887.6674717,96.48136664,536.8180049,
1/5/2012 13:00,13.3,939.1626746,72.94863193,512.5861222,
1/5/2012 14:00,13.3,939.1890286,70.23351626,510.9091156,
1/5/2012 15:00,12.01666667,923.2746766,111.5613974,284.5767478,
1/5/2012 16:00,10.80833333,673.6644579,197.9409725,249.4590238,
1/5/2012 17:00,10.6,685.2880786,220.8839217,256.3750158,
1/5/2012 18:00,10.6,609.3562707,246.0948076,258.1086087,
1/5/2012 19:00,10.25,609.7515151,245.3407259,255.4879172,
1/5/2012 20:00,9.65,609.1123278,251.8827792,249.6340207,
1/5/2012 21:00,8.758333333,565.3629866,262.0480323,241.9198757,
1/5/2012 22:00,8.3,550.8779747,273.371393,236.2574092,
1/5/2012 23:00,8.3,451.4145409,292.0654779,236.5296465,
1/6/2012 0:00,8.3,446.9582314,321.8929711,236.3732238,
1/6/2012 1:00,8.3,447.0288182,308.8209713,236.2254891,
1/6/2012 2:00,8.3,446.8753226,329.9032132,236.1636114,
1/6/2012 3:00,8.3,446.626453,336.9041262,236.0521313,
1/6/2012 4:00,8.3,447.2431754,342.6024512,235.9447658,
1/6/2012 5:00,8.3,447.0759781,345.1570018,235.8808355,
1/6/2012 6:00,8.3,447.0069673,349.6056661,235.7970803,
1/6/2012 7:00,8.3,515.7556124,333.0153972,235.9681577,
1/6/2012 8:00,8.3,653.3130043,297.4746411,236.4408403,
1/6/2012 9:00,8.3,693.279158,284.7831054,236.6717026,
1/6/2012 10:00,8.65,693.9084136,276.9719472,239.7579435,
1/6/2012 11:00,9.891666667,696.1142891,248.2218931,251.4254115,
1/6/2012 12:00,10.6,663.8729237,218.7401336,234.9837869,
1/6/2012 13:00,10.6,664.0182653,206.6368193,220.6227686,
1/6/2012 14:00,10.89166667,664.3420454,212.2653731,230.9607129,
1/6/2012 15:00,11.1,664.278322,209.3837178,233.6536627,
1/6/2012 16:00,11.1,666.7656386,206.7085099,225.5319194,
1/6/2012 17:00,11.1,637.7761562,218.4402481,229.4401941,
1/6/2012 18:00,10.80833333,452.2233769,242.5826478,226.8982046,
1/6/2012 19:00,10.6,451.9685696,263.37254,224.2082806,
1/6/2012 20:00,10.89166667,452.0110588,275.0819736,226.1313487,
1/6/2012 21:00,11.1,451.6271827,280.5965131,228.3192608,
1/6/2012 22:00,11.1,451.1239909,279.9433873,227.8984744,
1/6/2012 23:00,11.1,452.0531163,271.3882658,226.323395,
