timestamp,natural_gas_cost
1/11/2018,6.884
1/11/2018,6.884
1/11/2018,6.884
1/11/2018,6.884
1/11/2018,6.884
1/11/2018,6.884
1/11/2018,6.884
1/11/2018,6.884
1/11/2018,6.884
1/11/2018,6.884
1/11/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/12/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/13/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/14/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
1/15/2018,6.884
